#ID,CL00005,CL00009
Nicotiana_undulata,13,9
Nicotiana_debneyi,16,7
Nicotiana_africana,18,14
Nicotiana_benthamiana,7,7
Nicotiana_cavicola,3,12
Nicotiana_tabacum,45,19
Nicotiana_glauca,34,9
Nicotiana_paniculata,14,10
Nicotiana_otophora,10,8
Nicotiana_attenuata,13,9
Nicotiana_longiflora,2,3
Nicotiana_petunioides,1,4
Nicotiana_accuminata,0,3
Nicotiana_noctiflora,1,4
Nicotiana_bonariensis,2,5
Nicotiana_tomentosiformis,14,10
Solanum_lycopersicum,3,10
Nicotiana_sylvestris,17,10
Nicotiana_knightiana,15,10
