ARTEFACT	Artifact;Unknown;Unknown;Unknown
DNA	Class_II;Unknown;Unknown;Unknown
DNA/Unknown	Class_II;Unknown;Unknown;Unknown
DNA/Casposons	Class_II;DNA_Polymerase;Casposon;Casposon
DNA/Maverick	Class_II;DNA_Polymerase;Maverick;Unknown
DNA/Maverick-Mavirus	Class_II;DNA_Polymerase;Maverick;Maverick-Mavirus
DNA/Academ-1	Class_II;Transposase;Academ;Academ-1
DNA/Academ-2	Class_II;Transposase;Academ;Academ-2
DNA/Academ-H	Class_II;Transposase;Academ;Academ-H
DNA/CMC	Class_II;Transposase;CACTA;Unknown
DNA/CMC-Chapaev	Class_II;Transposase;CACTA;CMC-Chapaev
DNA/CMC-Chapaev-3	Class_II;Transposase;CACTA;CMC-Chapaev-3
DNA/CMC-EnSpm	Class_II;Transposase;CACTA;EnSpm
DNA/CMC-Mirage	Class_II;Transposase;CACTA;Mirage
DNA/CMC-Transib	Class_II;Transposase;CACTA;Transib
DNA/Dada	Class_II;Transposase;Dada;Dada
DNA/Ginger	Class_II;Transposase;Ginger;Unknown
DNA/Ginger-1	Class_II;Transposase;Ginger;Ginger-1
DNA/Ginger-2	Class_II;Transposase;Ginger;Ginger-2
DNA/hAT	Class_II;Transposase;hAT;Unknown
DNA/hAT-Ac	Class_II;Transposase;hAT;hAT-Activator
DNA/hAT-Blackjack	Class_II;Transposase;hAT;hAT-Blackjack
DNA/hAT-Charlie	Class_II;Transposase;hAT;hAT-Charlie
DNA/hAT-hAT1	Class_II;Transposase;hAT;hAT-hAT1
DNA/hAT-hAT19	Class_II;Transposase;hAT;hAT-hAT19
DNA/hAT-hAT5	Class_II;Transposase;hAT;hAT-hAT5
DNA/hAT-hAT6	Class_II;Transposase;hAT;hAT-hAT6
DNA/hAT-hATm	Class_II;Transposase;hAT;hAT-hATm
DNA/hAT-hATw	Class_II;Transposase;hAT;hAT-hATw
DNA/hAT-hATx	Class_II;Transposase;hAT;hAT-hATx
DNA/hAT-hobo	Class_II;Transposase;hAT;hAT-hobo
DNA/hAT-Pegasus	Class_II;Transposase;hAT;hAT-Pegasus
