TIR/Unknown	Class_II;Unknown;Unknown;Unknown
TIR/EnSpm_CACTA	DNA/CMC-EnSpm
TIR/hAT	DNA/hAT
TIR/Kolobok	DNA/Kolobok
TIR/Ginger	DNA/Ginger
TIR/Merlin	DNA/Merlin
TIR/Transib	DNA/CMC-Transib
TIR/Zator	DNA/Zator
TIR/MuDR_Mutator	DNA/MULE-MuDR
TIR/Novosib	DNA/Novosib
TIR/P	DNA/P
TIR/PIF_Harbinger	DNA/PIF-Harbinger
TIR/PiggyBac	DNA/PiggyBac
TIR/Sola1	DNA/Sola-1
TIR/Sola2	DNA/Sola-2
TIR/Sola3	DNA/Sola-3
TIR/Tc1_Mariner	DNA/TcMar
Helitron/Unknown	RC/Helitron
pararetrovirus/Unknown	LTR/Caulimovirus
LTR/Bel-Pao	LTR/Pao
DIRS/Unknown	LTR/DIRS
LTR/Retrovirus	LTR/ERV
Maverick/Unknown	DNA/Maverick
Penelope/Unknown	LINE/Penelope
